漕东路30弄	漕东小区	5225.12	上海中房物业管理有限公司	商品房	4010	4
漕溪一村30-48号	漕北小区	8981.59	上海徐房物业有限公司	没找到	4010	4
漕宝路250号	漕宝路250号	9732	上海爱仁物业有限公司	没找到	4009	4
学宫路	湄洲新村小区	126066.67	上海市崇明东门物业管理公司	商品房	20001	20
淞南一村	淞南一村	51860.17	上海继发物业公司	售后房	11014	11
淞南五村119-121、128-130	淞南五村－宏苑物业	6483	上海宏苑物业管理经营有限公司	售后房	11014	11
淞南十村50-67、101（02室）-102、108-109	淞南十村－湘鑫物业	15563.76	上海湘鑫实业有限公司	售后房	11014	11
淞南七村1-18、20-22、24-78、88-95、114-118、142-162、164-171	淞南七村－永通物业	190988	上海永通物业管理有限公司	售后房	11014	11
淞南六村15-60号	淞南六村－兴昌物业	20260	上海兴昌物业管理有限公司	售后房	11014	11
淞南九村41-74、85-94、201-223号	淞南九村－继发物业	46991.84	上海继发物业公司	售后房	11014	11
淞南二村35-83号	淞南二村－继发物业	47034.34	上海继发物业公司	售后房	11014	11
淞南八村1-65、78-181	淞南八村－兴昌物业	158759	上海兴昌物业管理有限公司	售后房	11014	11
淞沪路700号	淞沪路700号家属区	42000	上海明联物业管理有限公司	没找到	10012	10
淞虹路1005弄	淞虹路1005弄	57646.08	上海绿安物业管理发展有限公司	售后房	5010	5
长宁区福泉路255弄	淞虹公寓	76230.81	上海绿安物业管理发展有限公司	售后房	5010	5
汶水东路459弄18-21号、27-28号	汶水小区	5700	上海弘如物业管理有限公司	商品房	9010	9
龙茗路1025号	闵行区龙茗路商业街	18000	上海丰柏物业管理有限公司	没找到	12004	12
莘松路475弄	闵富花苑小区	41380.09	上海闵富物业管理有限公司	商品房	12004	12
花山路609弄	怡心苑	91494.91	上海高博物业管理有限公司	商品房	14529	14
大团镇永宁西路	怡景花苑	11364.15	上海南汇团房物业管理有限公司	商品房	15403	15
嘉定区福海路111号	怡景花园	31755.88	上海广厦物业管理有限公司	售后房	13020	13
中山北一路184-188号	怡景大厦	29050.71	上海冶建房产经营开发公司	售后房	9006	9
共和新路4406弄1-4号及共和新路4378、4388号	怡丰公寓	5056	上海军盛物业管理有限公司	商品房	8011	8
浦东新区环龙路263弄1号	怡东花园	138281.34	上海怡东物业管理有限公司	商品房	14406	14
武定路1100、1102、1104号	怡甸公寓	15760.98	上海科瑞物业管理发展有限公司	商品房	6005	6
肇嘉浜路746号	怡甸大厦	16613.78	上海怡朋物业管理有限公司	没找到	4002	4
吴中路405弄75支弄	怡德苑	14718	上海忆健物业管理有限公司	商品房	12011	12
紫藤一村52号-70号	紫藤一村52号-70号	13674	上海海顿物业管理有限公司	商品房	12015	12
梅陇镇益梅路1-27号	紫藤一村1-27号	14352	上海虹梅物业管理有限公司	商品房	12015	12
镇西路紫藤二村1-22号	紫藤二村1-22号	25197.4	上海申华物业有限公司	商品房	12015	12
兰坪路136弄	紫罗兰住宅小区	9506	上海闵碧物业管理有限公司	商品房	12028	12
